Trial ,ID,Sex,Light,Age,EntryZone_nose_freq,Entry_latency,Goal Box 0 Goal Box / Center0point 0 Frequency,Goal Box 0 Goal Box / Center0point 0 Latency to First (s),Target visit errors 0 Nose0point / Total errors 0 Frequency,Quadrants 0 Q1 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q2 / Center0point 0 Q2 / Center0point (%),Quadrants 0 Q3 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q4 / Center0point 0 Q4 / Center0point (%),DistanceMoved_cm
4,72,2,2,2,1,73.8999,1,78.6999,10,13.4,13.3,24.1,24.9,594.408
5,72,2,2,2,0,-,0,-,1,0,0,0,2.3,39.0428
6,72,2,2,2,0,-,0,-,15,18,32.1,30.8,38.7,1210.87
1,73,2,2,2,2,14.2,1,16.2,2,0.1,0,0,14.4,293.369
2,73,2,2,2,1,47.5,1,49.2,4,0,0,23.8,5.49999,209.508
3,73,2,2,2,1,87.0999,1,88.9999,15,33.7,16.8,9.79999,27.9,877.991
4,73,2,2,2,2,2.2,1,7.39999,0,0,0,0,7.39999,43.6162
5,73,2,2,2,1,26.1,1,28,6,0.8,0,14.3,12.9,457.699
6,73,2,2,2,1,46.2,0,-,8,30.9,46,17.3,19.7,1026.32
1,74,2,2,2,0,-,0,-,6,8.59999,22.5,41.1,44.9,614.531
2,74,2,2,2,3,142.2,0,-,16,21.9,23.6,45.7,50.4999,1895.57
3,74,2,2,2,1,2.5,1,2.6,0,0,0,0,2.6,10.008
4,74,2,2,2,1,53.4999,1,56.8999,5,10.2,3.7,10.6,30.4,478.736
5,74,2,2,2,1,69.8999,1,73.6999,13,19.2,25.2,20.5,10.2,885.462
6,74,2,2,2,2,37.9,0,-,28,45.7,33.1,29.4,14.2,1329.6
1,75,2,1,2,3,8.00441,0,-,1,0,0,0,0,161.886
2,75,2,1,2,1,8.79999,1,13.2,4,0.1,0,1.7,15.1,267.389
3,75,2,1,2,1,61.1349,1,63.384,8,18.9586,18.1575,12.1495,34.7129,627.822
4,75,2,1,2,5,31,1,42.2,3,14.8,3.99999,7.99999,16.3,460.111
5,75,2,1,2,1,18.3,1,23,5,0.1,8.19999,0,13.3,411.915
6,75,2,1,2,0,-,0,-,16,46.1,21.4,31.1,25.9,1724.12
1,76,2,1,2,1,72.6067,0,-,17,0,0,0,0,1051.61
2,76,2,1,2,1,5.69999,1,5.89999,1,0,0,0,6.19999,124.964
3,76,2,1,2,1,87.0999,1,62.0549,8,18.9394,20.6061,13.7879,37.8788,550.716
4,76,2,1,2,3,82.2999,0,-,15,15.1,10.2,54.1999,51.9999,1192.97
5,76,2,1,2,1,6.99999,1,7.89999,3,0.699999,0.1,0,8.39999,281.563
6,76,2,1,2,2,52.4999,0,-,15,62.1999,18.5,13.7,31.7,1260.9
1,77,2,1,2,3,27.3,2,29.3,10,4.886,22.8013,35.5049,30.2932,552.654
2,77,2,1,2,7,132.4,0,-,7,24.6931,19.8556,16.3177,30.3249,1830.27
3,77,2,1,2,1,29.3,1,34,2,18.0851,23.1383,25.266,23.1383,544.904
4,77,2,1,2,1,28.9,1,33.9,4,3.3,7.59999,5,18.8,547.058
5,77,2,1,2,1,33.7,1,35.3,4,4.29999,0.5,7.59999,23.3,511.164
6,77,2,1,2,6,6.29999,0,-,21,35.8,26.5,11.1,53.9999,2221.64
1,78,2,1,2,9,5.29999,2,30.3,8,2.45098,0,0,78.6765,419.833
2,78,2,1,2,5,25.6,0,-,4,21.9923,18.0843,19.0038,31.8774,1168.46
3,78,2,1,2,5,41,1,52.9999,4,16.8142,17.5221,19.292,37.1681,491.24
4,78,2,1,2,1,128.3,0,-,0,9.59999,10.4,29.8,16.7,539.162
5,78,2,1,2,3,18.2,1,35.3,7,0,12.3,2.7,20.3,268.76
6,78,2,1,2,3,17.4,0,-,19,34.7,16.9,26,46.9,1655.77
1,79,2,1,2,35,7.79999,0,-,3,2.05128,12.5275,11.3553,63.8828,785.228
2,79,2,1,2,16,8.19999,4,12.2,14,14.4603,0.407331,9.06314,59.0631,1013.58
3,79,2,1,2,1,3.9,1,11.7,0,0,0,6.17977,59.5506,70.6531
4,79,2,1,2,1,34.8,1,43.8,3,10.2,16.7,4,12.9,322.425
5,79,2,1,2,1,8.09999,1,14.1,2,0.899998,0,6.39999,8.09999,200.785
6,79,2,1,2,7,9.79999,0,-,30,24.3,17.7,26.4,54.3999,1504.51
1,80,1,1,1,1,0,1,1.8,0,13.9706,8.08824,4.41177,25.7353,286.427
2,80,1,1,1,3,125.8,2,127.2,18,6.72805,32.5071,33.5694,23.5127,2040.81
3,80,1,1,1,1,36.8,1,37,5,20.2765,26.4977,22.8111,14.977,580.289
4,80,1,1,1,2,17.2,1,17.6,1,4.9,2.6,1.5,8.09999,177.733
5,80,1,1,1,3,13.8,1,19.1,1,7.19999,3.7,0.499999,9.19999,346.625
6,80,1,1,1,0,0,0,0,10,22.3,26.2,36.4,41.5,2019.81
1,81,1,2,1,3,79.3999,1,91.4999,2,15.3226,16.3306,18.75,38.5081,943.928
2,81,1,2,1,4,24.7,2,29,3,7.44681,20.2128,5.85106,24.4681,488.858
3,81,1,2,1,1,0,1,2.1,0,0,0,0,52.7472,76.2482
4,81,1,2,1,2,2.4,1,2.8,1,0.399998,0,0.2,5.8,354.182
5,81,1,2,1,2,0,1,0.999999,1,0.3,0,0,3.9,198.503
6,81,1,2,1,1,17.5,0,0,19,48.4999,23.6,14.5,38.6,1582.84
1,82,2,2,1,0,0,0,-,8,29.6474,23.8782,20.3526,17.3878,1630.34
2,82,2,2,1,1,0.899999,1,3.8,0,0,0,0,49.1379,153.158
3,82,2,2,1,1,12.1,1,13.4,0,8.57143,18.2857,0,49.7143,144.842
4,82,2,2,1,0,-,0,-,2,0.1,0.199999,0,0.1,116.098
5,82,2,2,1,2,9.39999,1,10.3,2,0.3,3.49999,4.8,9.79999,573.701
6,82,2,2,1,8,8.79999,0,0,27,22.3,42.7,22,40.3,1936.79
1,89,2,1,3,1,68.1,1,73.7,22,8.4,32.83,22.28,25.62,1069.99
2,89,2,1,3,2,2.9,1,4.6,2,6.67,26.67,0,21.96,265.48
3,89,2,1,3,1,22.1,1,22.9,6,17.62,18.11,23.82,17.87,487.86
4,89,2,1,3,1,42.3,1,46.4,15,19.49,18.23,22.19,20.6,1031.53
5,89,2,1,3,2,32.5,1,32.8,2,27.64,4.27,21.14,24.59,909.89
6,89,2,1,3,9,117.2,0,-,12,13.09,17.7,20.91,41.15,1855.22
1,90,2,1,3,2,93.9,1,102.7,21,26.19,21.86,29.14,13.18,1166.18
2,90,2,1,3,1,3.6,1,3.9,1,7.94,0,15.08,39.68,396.32
3,90,2,1,3,3,19.1,1,19.4,4,39.25,0,0,41.98,435.75
4,90,2,1,3,1,27.5,1,29.2,3,19.29,20.47,5.88,39.29,593.74
5,90,2,1,3,2,12.9,1,21,4,27.79,11.74,1.96,29.75,457.24
6,90,2,1,3,10,11.3,1,126.5,14,16,15.06,15.94,43.89,1583.27
1,91,2,1,3,6,14.1,1,120.2,33,15.9,17.03,33.46,28.58,1909.62
2,91,2,1,3,1,4,1,5.4,1,14.29,0,5.19,42.21,317.78
3,91,2,1,3,1,10.8,1,12.4,1,8.12,20.94,4.27,33.76,360.66
4,91,2,1,3,3,2.2,1,9.9,1,25.82,0.36,1.82,40.36,329.79
5,91,2,1,3,2,16.9,1,18.6,6,28.57,15.53,2.8,30.43,536.51
6,91,2,1,3,4,20.1,0,-,23,25.91,6.32,22.14,35.48,2357.56
1,92,1,2,3,30,76.3,1,319.1,16,7.2,11.71,9.49,70.88,1592.64
2,92,1,2,3,2,7.6,1,8.3,1,4.15,8.29,12.95,29.02,265.35
3,92,1,2,3,0,-,0,-,2,1.56,0,0.78,41.41,165.05
4,92,1,2,3,2,0,1,3.6,1,23.29,0,1.37,34.25,264.94
5,92,1,2,3,0,-,1,0,0,17.35,0,0,16.33,61.2
6,92,1,2,3,9,7,0,-,14,9.33,7.76,12.05,60.99,1877.03
1,93,1,2,3,3,92.3,1,103.3,16,12.64,18.61,29.21,33.04,1255.74
2,93,1,2,3,1,9.4,0,-,2,30.17,0,0,37.07,179.17
3,93,1,2,3,2,15,1,19.3,7,13.51,0,34.4,15.72,407.63
4,93,1,2,3,0,-,0,-,14,10.12,41.42,26.66,20.98,1474.1
5,93,1,2,3,2,5.2,1,7.1,1,9.2,0,4.91,47.85,253.43
6,93,1,2,3,5,6.9,0,-,6,17.82,6.73,23.67,43.95,1129.73
1,94,1,1,3,2,57.7,1,59.8,8,0.88,0,62.04,29.2,529.1
2,94,1,1,3,1,75.9,1,78.3,24,26.69,11.82,30.29,21.96,1358.38
3,94,1,1,3,4,10.7,2,13.9,5,5.15,1.29,30.47,33.91,312.87
4,94,1,1,3,2,44.5,1,52.6,15,4.97,16.99,44.55,22.6,599.04
5,94,1,1,3,1,12.5,1,17.6,3,11.11,2.51,30.11,34.05,331.35
6,94,1,1,3,5,3.1,0,-,20,27.16,22.58,9.23,38.11,1792.91
1,95,2,1,2,2,40.9,1,46.1,12,24.62,11.93,14.68,25.99,731
2,95,2,1,2,1,31.9,1,36.1,11,14.21,14.39,20.14,23.92,565.59
3,95,2,1,2,2,20.2,1,22.8,8,15.13,15.9,34.36,13.33,351.16
4,95,2,1,2,3,19.4,2,23.2,5,38.19,17.01,4.73,23.44,376.41
5,95,2,1,2,1,23,1,23.1,1,11.14,18.16,23.73,26.15,434.42
6,95,2,1,2,0,-,0,-,16,21.64,14.65,28.25,30.78,1575.25
1,96,2,2,2,2,1.2,1,10.8,3,3.06,1.22,0,68.2,359.93
2,96,2,2,2,2,35,1,43.4,8,19.13,11.36,13,28.7,663.6
3,96,2,2,2,1,14,1,16.3,7,33.6,15.73,11.73,15.2,366.4
4,96,2,2,2,37,28.1,0,-,27,14.03,15.78,26.3,38.63,1797.47
5,96,2,2,2,6,15,2,77.1,20,11.74,16.96,10.17,32.09,1227.07
6,96,2,2,2,2,1.6,0,-,12,27.86,29.05,16.68,23.76,1965.2
1,97,2,2,3,11,27.4,2,147.3,22,14.49,12.71,29.8,36.43,2610.62
