Trial ,ID,Sex,Light,Age,EntryZone_nose_freq,Entry_latency,Goal Box 0 Goal Box / Center0point 0 Frequency,Goal Box 0 Goal Box / Center0point 0 Latency to First (s),Target visit errors 0 Nose0point / Total errors 0 Frequency,Quadrants 0 Q1 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q2 / Center0point 0 Q2 / Center0point (%),Quadrants 0 Q3 / Center0point 0 Cumulative Duration (%),Quadrants 0 Q4 / Center0point 0 Q4 / Center0point (%),DistanceMoved_cm
2,17,1,2,2,18,124.833,7,132.933,16,11.3527,11.7937,6.8158,45.2426,998.013
3,17,1,2,2,3,48.4998,1,62.8997,9,45.9618,7.48899,4.69897,36.7107,424.276
4,17,1,2,2,21,128.9,7,133.8,10,22.4459,1.80288,6.49038,58.744,631.025
5,17,1,2,2,16,123.233,2,126.866,18,18.236,12.7903,9.91839,58.8198,1084.16
6,17,1,2,2,1,76.2999,0,-,15,18.1765,16.54,47.5161,17.7674,881.369
1,18,1,2,2,9,130.9,7,131.533,28,12.6749,17.2808,31.9174,18.9696,1091.78
2,18,1,2,2,3,28.5333,1,36.8333,3,21.5593,6.76213,7.71678,52.9833,290.307
3,18,1,2,2,2,93.5999,1,96.9999,7,18.591,11.6438,27.2994,39.3346,769.623
4,18,1,2,2,2,53.8998,1,59.6998,5,25.4237,5.70108,6.62558,56.7026,276.013
5,18,1,2,2,2,13.4666,1,15.4999,5,41.8985,5.07365,0,33.8789,175.789
6,18,1,2,2,2,28.8333,0,-,24,36.6403,9.71613,26.6608,26.9827,1260.29
1,19,1,2,2,3,127.599,2,135.233,16,40.2233,16.7498,14.5165,25.9682,1116.61
2,19,1,2,2,3,56.2664,1,66.8664,11,23.3086,21.9184,21.7331,25.9963,596.063
3,19,1,2,2,3,21.8,1,30.5,4,49.8599,0,0,35.5742,190.566
4,19,1,2,2,4,115.1,2,118.5,3,22.312,43.5732,13.3387,18.6742,562.658
5,19,1,2,2,2,11.4,1,22.9,1,0,7.03218,27.7712,47.0799,186.369
6,19,1,2,2,0,-,0,-,6,25.2192,24.2548,18.9071,31.6189,706.852
1,20,1,1,2,14,129.799,3,133.033,32,11.2253,14.1481,24.1208,43.9859,1441.86
2,20,1,1,2,1,142.3,0,-,17,14.7385,20.3457,32.6906,32.2252,1483.45
3,20,1,1,2,5,43.8998,1,72.7997,11,4.74359,10.8974,32.8205,45.7692,517.613
4,20,1,1,2,4,52.7998,1,67.6997,4,16.7353,27.9835,12.0713,37.8601,523.629
5,20,1,1,2,4,20.3,1,38.0333,8,23.1245,2.16551,9.89946,53.5963,337.124
6,20,1,1,2,6,20.6666,0,-,21,22.6768,15.4296,21.7417,40.152,1524.13
1,21,1,1,2,12,120.033,1,309.833,17,9.45482,9.24018,11.3329,69.9506,1356.77
2,21,1,1,2,7,75.3999,2,109.1,12,18.7263,11.3643,9.26088,57.7271,883.346
3,21,1,1,2,37,46.7998,3,181.099,13,17.5523,7.99785,7.24638,66.5593,952.745
4,21,1,1,2,5,44.3998,2,73.3997,4,11.8321,12.0865,13.1043,58.9059,392.541
5,21,1,1,2,1,29.3333,1,34.7666,4,14.3933,3.76569,36.4017,32.7197,288.182
6,21,1,1,2,2,21.3,0,-,11,10.2864,24.8101,27.6447,37.2589,1036.15
1,22,1,2,2,6,91.5666,1,105.967,23,14.35,22.2456,38.1267,21.9754,912.436
2,22,1,2,2,2,21,1,25.9666,3,36.1472,4.97835,11.1472,32.9004,227.613
3,22,1,2,2,3,129.899,2,131.299,14,22.1978,11.9414,24.6154,39.9267,1253.88
4,22,1,2,2,3,5.69998,2,125.299,10,27.2799,8.01887,36.3994,26.9654,788.825
5,22,1,2,2,4,52.0331,1,58.6331,8,8.94819,17.8964,26.3736,39.5604,506.664
6,22,1,2,2,0,-,0,-,4,16.7738,33.986,29.398,19.8422,538.087
1,23,1,2,1,2,123.733,0,-,6,44.0636,24.4064,18.0906,13.4149,691.458
2,23,1,2,1,3,41.7332,1,55.5998,13,17.5824,20.2747,14.9451,38.8462,524.955
3,23,1,2,1,2,8.09997,1,12.5,1,25.4237,0,0,49.1526,118.903
4,23,1,2,1,38,2.09999,4,115.8,12,3.64173,1.13189,0.885827,88.7303,557.947
5,23,1,2,1,15,8.59999,1,43.7666,5,11.9454,0,0,77.6792,191.033
6,23,1,2,1,7,0.799999,0,0,9,17.3875,14.2899,12.9749,55.3477,1252.84
1,24,1,1,2,14,58.6664,1,137.599,20,9.76286,7.31958,7.35037,75.2284,1191.18
2,24,1,1,2,6,4.76665,1,26.3332,2,1.17021,0,9.3617,74.6809,234.503
3,24,1,1,2,13,49.0999,2,90.0999,6,1.67891,2.41343,18.1532,74.7114,492.869
4,24,1,1,2,28,61.7999,6,117.8,11,5.18182,5.63636,4.15152,42.5758,557.607
5,24,1,1,2,2,25.7666,1,33.4,6,0,2.77296,35.6152,48.4402,233.066
6,24,1,1,2,5,23.1666,0,-,14,7.51023,19.813,15.1958,57.481,982.114
1,25,1,2,1,2,130.733,1,134.599,6,29.642,10.5728,33.031,24.0811,1023
2,25,1,2,1,2,52.3666,1,55.6999,6,24.8171,18.4581,18.233,33.3708,532.908
3,25,1,2,1,3,47.2998,1,52.1998,7,18.8153,25.0871,27.7004,21.9512,603.475
4,25,1,2,1,3,23.3,1,31.2,3,21.4286,9.89011,6.86813,50.2747,219.872
5,25,1,2,1,2,12.9333,1,14.6333,5,0,5.41455,32.8257,38.0711,222.338
6,25,1,2,1,5,13.6333,0,0,20,26.2712,18.1473,15.8971,39.6844,1945.57
1,26,1,2,2,4,136.7,6,136.3,21,17.6332,23.275,29.31,21.2699,1252.81
2,26,1,2,2,1,139.366,1,134.499,14,18.7007,12.7538,35.8491,29.2095,1166.31
3,26,1,2,2,5,20,1,43.9,5,16.9043,11.8126,7.53564,61.5071,348.511
4,26,1,2,2,1,124.8,0,-,4,10.1816,2.82101,5.41505,79.2477,568.455
5,26,1,2,2,5,63.6331,1,80.833,9,19.9457,12.3787,9.89523,51.882,762.018
6,26,1,2,2,0,-,0,-,8,28.2876,20.1344,15.1666,36.4115,1130.35
1,27,1,1,1,19,133.8,15,142.567,32,2.65171,8.1897,17.5217,39.6022,1170.85
2,27,1,1,1,2,129.866,0,-,14,17.5475,18.1881,28.8721,34.889,1154.67
3,27,1,1,1,4,122.1,2,124.899,7,6.84089,41.8909,27.9785,22.4443,1121.63
4,27,1,1,1,9,111.3,5,113.1,3,1.82013,6.31692,41.7559,37.3662,371.346
5,27,1,1,1,3,69.5331,1,77.4664,7,32.0275,7.26979,9.93538,45.1131,552.09
6,27,1,1,1,4,46.2666,0,0,11,9.76037,13.7639,39.2753,37.2005,816.596
1,28,1,2,2,8,13.9,0,-,21,16.3648,9.76714,17.0116,56.8564,1376.99
2,28,1,2,2,6,23.6,1,44.7,7,1.40281,21.2425,15.8317,56.1122,375.293
3,28,1,2,2,2,6.59999,2,13.3,1,9.18919,4.86486,0,59.4595,118.601
4,28,1,2,2,10,36.0026,0,-,2,13.9662,9.38352,11.1839,62.2477,904.866
5,28,1,2,2,4,32.6666,1,47.3333,1,14.531,15.0594,12.2853,53.1044,483.465
6,28,1,2,2,1,36.9,0,-,12,12.8722,16.0245,28.9842,41.0683,1210.95
1,29,1,2,2,3,54.0999,1,66.4999,16,0.557881,52.0223,17.1548,23.5704,424.425
2,29,1,2,2,2,54.2999,1,57.8999,10,14.2631,6.81458,8.24089,61.3312,467.076
3,29,1,2,2,2,119.9,1,126.3,21,14.0137,38.0807,26.3519,19.0404,1032.05
4,29,1,2,2,14,29.984,4,40.4683,4,6.14525,7.3743,10.6145,64.9162,301.257
5,29,1,2,2,33,19.6377,2,27.1856,6,7.97101,5.32822,3.474,82.0119,945.11
6,29,1,2,2,2,7.68034,1,9.88427,1,0,25.4335,24.8555,38.7283,171.309
1,30,2,2,1,1,105.6,1,109.3,24,10.2183,27.1616,26.9869,31.5284,1077.34
2,30,2,2,1,2,60.7999,1,65.5999,12,18.5028,15.9605,35.0282,24.5763,626.909
3,30,2,2,1,2,46,1,50.0999,12,12.6582,23.3273,15.9132,41.2297,428.171
4,30,2,2,1,12,5.86666,1,34.8,1,2.13523,0,1.77936,92.7046,209.024
5,30,2,2,1,11,0,0,-,3,0,0,0,88.3752,280.722
6,30,2,2,1,7,4.39999,0,0,27,11.0333,20.5779,23.1173,42.7321,1244.01
1,31,1,1,2,6,51.2999,2,62.5999,22,43.5103,10.3245,11.9469,24.0413,399.527
2,31,1,1,2,4,50.5999,1,68.8999,13,16.5992,17.6788,17.6788,41.2955,494.708
3,31,1,1,2,2,28.4,1,32.1,20,29.9728,20.7084,12.2616,19.0736,313.32
4,31,1,1,2,6,14.8,1,121.867,8,19.895,18.8451,25.8268,34.5407,1057.1
5,31,1,1,2,7,21.9333,3,75.5333,9,28.1304,17.753,13.1218,38.8508,851.373
6,31,1,1,2,5,11.7,0,-,25,12.6095,24.6935,29.5096,33.1874,1204.99
1,32,1,1,1,2,2.5,1,38,3,0.231479,0,0,87.7315,106.798
2,32,1,1,1,2,79.2999,1,83.6999,17,12.036,16.6479,16.5354,49.9438,578.7
3,32,1,1,1,1,0.099999,0,-,0,1.28204,0,0,98.718,53.3586
4,32,1,1,1,10,7.06908,1,28.4764,1,0,0,0,95.1327,92.5284
5,32,1,1,1,5,12.1333,5,23.6,9,0,0,26.4935,67.013,171.785
6,32,1,1,1,9,1.8,0,0,33,17.7758,9.36953,19.965,52.8897,1165.36
1,33,1,1,2,4,118.9,0,-,13,3.54367,12.807,11.5014,68.8219,897.055
2,33,1,1,2,2,61.4999,0,-,28,14.5043,30.8716,23.8856,26.4138,1132.02
3,33,1,1,2,35,28.4,12,40.5,20,6.59622,4.57893,4.67499,66.9549,909.624
4,33,1,1,2,8,116.675,4,117.809,2,5.31211,4.48532,2.85242,33.5469,716.696
5,33,1,1,2,0,-,0,-,3,16.9002,6.3923,43.6077,31.5236,520.874
6,33,1,1,2,16,121,0,-,25,6.45061,8.9436,14.0231,68.9,1803.73
1,34,2,1,1,2,8.59999,1,79.1999,9,15.0474,28.7915,10.1896,38.3886,1046.81
2,34,2,1,1,7,12,6,15.6,8,4.81099,7.90378,0,51.89,241.77
3,34,2,1,1,2,15.211,1,21.282,1,12.2905,26.257,8.10056,44.9721,169.962
4,34,2,1,1,20,40.962,3,121.819,6,6.38675,9.22531,6.65287,61.7386,1000.72
5,34,2,1,1,2,2.46666,1,5.46666,1,0,0,0,80.9091,48.7217
6,34,2,1,1,0,0,0,0,29,5.6042,8.9317,55.6042,28.634,1307.89
1,35,2,2,1,2,8.09999,1,9.69999,5,0,0,0,73.8255,68.4161
2,35,2,2,1,2,22.3,1,24,12,0,0,51.7123,43.8356,195.706
3,35,2,2,1,2,59.0999,1,60.6999,21,20.6373,26.1002,37.1775,10.6222,613.727
4,35,2,2,1,3,37.72,1,40.7456,1,6.44172,34.9693,33.589,19.4785,691.46
5,35,2,2,1,2,75.822,1,76.7556,1,19.7821,21.4585,16.5968,40.2347,1185.55
6,35,2,2,1,6,9.59999,0,0,22,24.4308,11.1208,10.8581,53.5902,1282.02
1,36,2,1,1,5,76.6999,2,81.9999,30,3.72608,25.2769,41.994,27.5932,860.137
2,36,2,1,1,2,18.2,1,19.6,9,0,28.2258,32.2581,25,210.884
3,36,2,1,1,1,0.099999,0,-,0,0,0,0,100,10.345
4,36,2,1,1,2,10.9454,1,12.0132,1,14.7619,4.28572,43.8095,28.0952,215.192
5,36,2,1,1,1,2.80444,1,3.93957,1,0,0,36.7089,37.9747,74.7071
6,36,2,1,1,8,17.9,0,0,56,24.2557,13.4851,24.6935,37.5657,1981.68
1,37,2,1,1,2,3,1,6.79999,2,0,0,0,90.8333,42.1773
2,37,2,1,1,2,3.9,1,5.59999,3,0,0,0,64.8148,40.5851
3,37,2,1,1,2,12.7,1,14.2,3,5.6701,5.6701,7.21649,61.3402,167.359
4,37,2,1,1,2,15.4961,1,17.2327,1,31.5217,0,0,62.3188,123.451
5,37,2,1,1,2,0,1,2.22126,1,0,0,0,66.1765,12.7049
6,37,2,1,1,7,0.799999,0,0,32,10.7706,19.4396,17.5131,52.2767,1667.72
1,39,2,2,1,3,18.4,1,27.6,10,0,0,46.6463,41.7683,186.996
2,39,2,2,1,3,25.6,1,60.5999,25,21.1246,32.3708,15.6535,24.772,867.771
3,39,2,2,1,2,16.5,1,18.7,4,5.70175,17.9825,14.4737,49.1228,279.848
4,39,2,2,1,2,14.7333,1,16.3333,1,26.6917,11.2782,18.797,37.594,231.629
5,39,2,2,1,4,4.69999,0,-,24,21.8039,22.2417,24.3433,31.6112,1750.41
1,40,1,1,2,6,127.5,0,-,17,3.40782,4.13408,57.9888,34.4693,852.286
2,40,1,1,2,3,125.5,0,-,11,15.9945,26.1791,30.0068,27.8195,755.792
3,40,1,1,2,3,22.7,1,32.1,9,15.8602,5.91398,28.7634,39.2473,263.76
4,40,1,1,2,1,108.368,0,-,0,10.8467,30.2158,41.6159,17.3215,592.514
5,40,1,1,2,4,117.667,2,126.067,1,32.7634,3.37338,6.97782,52.3105,674.952
6,40,1,1,2,0,-,0,-,0,23.1173,14.2732,29.4221,33.1874,202.906
1,41,2,1,1,5,10.8674,0,-,21,15.5469,18.8784,11.5491,52.9706,1419.22
2,41,2,1,1,5,51.9333,1,72.0666,6,13.2988,16.8394,17.7893,42.6598,649.498
3,41,2,1,1,0,-,0,-,4,15.0943,10.1554,39.5117,34.5727,1169.09
4,41,2,1,1,0,-,0,-,6,17.869,10.4329,38.0688,22.1421,794.35
5,41,2,1,1,1,46.2751,1,53.8098,5,0.6795,38.5051,23.8958,30.0113,489.646
6,41,2,1,1,4,12,0,0,10,20.1998,24.1398,23.3074,31.2431,1309.08
1,42,2,1,1,0,0,0,-,15,15.0943,34.0733,31.2431,19.2009,1152.2
2,42,2,1,1,0,-,0,-,1,38.0688,16.1487,5.54939,33.7958,652.19
3,42,2,1,1,11,11.6667,1,65.2666,5,19.5076,0.473485,5.87121,66.0985,414.678
4,42,2,1,1,0,-,0,-,3,26.3596,34.1287,8.10211,19.0899,598.403
5,42,2,1,1,0,-,0,-,8,30.2997,24.9723,15.9267,27.8024,887.082
6,42,2,1,1,1,24.9344,0,0,10,15.3976,19.5713,24.5347,38.9735,1113.07
1,43,1,2,1,2,6.21205,1,17.701,2,9.97067,0,0,73.3138,255.141
2,43,1,2,1,1,30.4,0,-,24,33.9623,33.4073,11.3208,19.6448,1330.75
3,43,1,2,1,1,117.6,0,-,20,31.0211,24.5283,18.8124,23.6404,1278.17
4,43,1,2,1,2,1.06666,0,-,12,29.1343,25.6937,22.7525,18.9789,1318.81
5,43,1,2,1,10,27.7333,0,-,18,22.0311,31.8535,15.6493,30.4661,1130.87
6,43,1,2,1,5,10.4,0,0,20,18.9234,15.8713,23.0855,41.8424,1489.31
1,44,1,1,1,10,75.0666,0,-,19,7.32519,12.4861,30.9101,48.6681,851.643
2,44,1,1,1,7,49.9999,0,-,14,27.525,10.3219,9.48946,51.9978,1088.52
3,44,1,1,1,6,48.2666,0,-,18,16.7037,11.9867,16.5927,54.2175,1125.37
4,44,1,1,1,0,-,0,-,0,23.365,2.79486,18.7814,41.6993,315.041
5,44,1,1,1,1,115.267,0,-,11,12.5416,29.5228,28.5239,29.1343,1119.58
6,44,1,1,1,1,26.3333,0,0,8,22.475,28.8013,24.1398,22.3085,1087.98
1,45,2,2,1,7,9.79999,0,-,19,19.3119,7.49168,20.6437,52.0533,1137.32
2,45,2,2,1,8,36.2666,1,89.4666,16,17.6885,6.69486,18.2523,51.797,777.889
3,45,2,2,1,6,17.9333,1,92.6666,15,6.74847,29.4479,21.8814,36.4008,1001.28
4,45,2,2,1,6,12.8,1,47,3,0,14.578,10.4859,68.4143,453.94
5,45,2,2,1,2,30.1333,1,33.6,6,4.99139,23.2358,24.7849,32.0138,327.148
6,45,2,2,1,1,42.6666,0,0,12,13.0411,22.919,26.3596,37.0699,1417.44
1,46,2,2,1,4,44.2666,1,66.7333,10,3.98887,0.092764,41.9295,47.2171,430.048
2,46,2,2,1,3,56.2666,1,70.2666,10,15.8267,16.4456,30.1503,31.7418,736.093
3,46,2,2,1,3,8.33333,1,20.6,5,9.84456,0,13.4715,58.8083,305.84
4,46,2,2,1,13,16.9333,0,-,22,1.38735,9.101,17.6471,71.1432,960.555
5,46,2,2,1,1,18.1333,1,23.3333,2,0,25.2927,6.55738,54.5667,444.389
6,46,2,2,1,9,12.1333,0,0,9,10.5438,12.1532,13.374,60.3774,1324.09
1,47,2,2,1,1,90.9401,0,-,10,2.77624,18.8784,24.2643,53.4703,645.266
2,47,2,2,1,2,74.4666,0,-,21,13.1521,31.3541,31.2431,24.2508,1197.41
3,47,2,2,1,5,75.9999,0,-,15,7.93563,26.6926,17.0366,47.6693,1377.41
4,47,2,2,1,0,-,0,-,3,17.5361,22.475,17.0366,36.071,430.745
5,47,2,2,1,5,36.5333,1,49.2666,10,0.490195,24.7549,27.8186,37.5,398.553
6,47,2,2,1,3,23.2974,0,0,27,6.26058,21.489,40.7783,29.4416,1434.47
1,48,2,1,1,5,25.4,1,44.4,2,2.37099,4.74198,21.1994,64.0167,242.803
2,48,2,1,1,3,102.067,1,108,19,15.3212,48.2616,14.4372,17.4425,932.183
3,48,2,1,1,1,3.73333,1,3.86666,0,21.4815,0,0,31.8519,169.149
4,48,2,1,1,3,15.7521,1,27.1588,5,4.84211,15.3684,21.8947,42.1053,356.422
5,48,2,1,1,1,3.46666,1,4.46666,1,0.694449,0,0,51.3889,149.88
6,48,2,1,1,4,14.5333,0,0,11,19.6448,12.5971,22.5305,45.172,1305.27
1,49,2,1,1,3,92.6666,1,106.333,17,10.8852,27.0335,22.7273,33.9713,1017.29
2,49,2,1,1,1,40.8,1,45.9333,2,10.4439,17.4935,34.5953,15.7963,440.092
3,49,2,1,1,5,19.0666,2,33,11,3.20563,6.02033,12.0407,68.3346,646.328
4,49,2,1,1,9,3.4,0,-,19,12.9301,26.6926,11.8757,48.2242,1108.71
5,49,2,1,1,8,18.2666,0,-,12,13.485,19.8668,21.6426,45.0055,1010.19
6,49,2,1,1,2,38.3333,0,0,8,23.03,11.5427,17.4806,47.2253,1173.99
1,50,2,2,2,1,77.0666,0,-,28,26.3596,34.6282,17.3696,21.6426,948.188
2,50,2,2,2,2,16.1469,1,24.3538,7,26.3039,0,0,56.4626,129.786
3,50,2,2,2,3,3.33333,1,47.7333,13,11.4754,9.33165,24.5902,47.9193,565.42
4,50,2,2,2,1,93.3999,1,96.9999,13,14.4909,14.752,24.0209,41.188,927.04
5,50,2,2,2,2,52.1542,1,58.1566,4,16.4557,19.6203,15.4008,40.2954,562.178
6,50,2,2,2,2,22.5486,0,-,15,19.5556,13.2222,19.5556,45.5,1061.25
1,51,2,1,2,0,-,0,-,10,34.5249,37.3471,11.7592,10.7244,589.398
2,51,2,1,2,1,37.6,1,39.8,8,23.0655,10.4167,28.125,27.2321,361.093
3,51,2,1,2,1,55.9759,1,58.5779,7,15.9451,11.7212,27.8775,39.2819,668.356
4,51,2,1,2,1,29.649,1,30.9845,0,28.6807,23.1358,6.88337,30.0191,357.279
5,51,2,1,2,1,32.6108,1,36.0786,1,10.859,6.15883,9.88655,56.4019,360.141
6,51,2,1,2,4,17.012,0,-,15,24.3848,30.2013,15.7159,27.5727,1300.92
1,52,2,2,2,4,20.4043,0,-,21,22.1544,23.4314,22.0988,31.5936,1168.07
2,52,2,2,2,1,64.3541,1,67.4885,9,23.1618,26.5625,17.5551,26.011,868.924
3,52,2,2,2,1,87.8916,1,91.9594,5,16.8385,28.3162,14.5704,29.8969,824.847
4,52,2,2,2,3,50.4225,1,100.978,8,15.4717,24.0881,18.9937,35.2201,1068.54
5,52,2,2,2,3,13.0667,1,16.9333,0,33.2326,5.74018,9.36556,22.9607,157.253
6,52,2,2,2,0,-,0,-,20,29.2506,23.5459,23.8255,23.0425,1996.41
1,53,2,1,1,8,21.9333,3,43.8666,10,15.2381,2.9932,1.4966,77.1429,311.918
2,53,2,1,1,2,28.2058,1,92.6858,12,5.8663,10.4366,46.7258,29.3315,853.959
3,53,2,1,1,1,16.5333,1,17.0666,0,6.9069,13.2132,5.40541,52.2523,315.026
4,53,2,1,1,1,86.5999,1,93.7332,13,19.3306,16.1885,21.1749,38.388,1148.34
5,53,2,1,1,1,38.2666,1,38.6,1,11.8902,11.2805,9.14634,50.7622,338.192
6,53,2,1,1,2,81.8872,0,0,9,16.8802,27.6323,24.8468,25.7382,1273.66
1,54,1,1,1,6,32.7388,1,70.6785,21,13.4683,21.1268,20.2465,39.6127,768.473
2,54,1,1,1,3,6.80291,1,11.9384,4,14.5098,0,7.84314,56.4706,282.702
3,54,1,1,1,6,14.3487,0,-,5,0,0,24.5146,40.7767,193.409
4,54,1,1,1,2,62.6666,1,69.3999,14,7.92627,22.6728,40.0922,26.1751,815.305
5,54,1,1,1,2,64.3999,1,69.8666,14,24.5694,19.2203,24.2067,26.5639,766.751
6,54,1,1,1,4,49.4666,0,0,15,14.6504,26.6926,27.1365,31.4095,1680.98
1,55,2,2,1,2,46,1,50.5333,10,14.012,22.515,20.479,34.1317,617.49
2,55,2,2,1,0,-,0,-,11,21.3097,24.5283,27.0255,19.2009,1191.74
3,55,2,2,1,2,74.6429,1,79.1121,7,10.3803,25.7528,25.832,31.775,978.513
4,55,2,2,1,2,31.8806,1,40.8178,3,13.1024,18.0723,30.2711,28.9157,346.872
5,55,2,2,1,2,9.79999,1,11.7333,1,16.6667,10.9649,0,57.0175,219.154
6,55,2,2,1,2,21.9389,0,0,15,28.9725,21.954,20.831,27.1757,1601.91
1,56,2,2,1,3,12.1362,0,-,22,10.9939,23.9311,31.0383,33.759,1472.79
2,56,2,2,1,1,38.0192,1,42.5549,10,38.0952,21.0084,2.94118,29.6919,516.99
3,56,2,2,1,3,12.6667,1,17.9333,1,9.41476,13.2316,4.3257,44.7837,255.278
4,56,2,2,1,0,-,0,-,12,20.9883,36.5353,22.8762,18.7118,1427.46
5,56,2,2,1,2,25.6,2,30.2,1,14.9057,16.4151,14.5283,30.566,245.547
6,56,2,2,1,1,68.1663,0,0,11,27.6399,27.7553,17.4264,23.6007,1286.29
1,57,1,2,1,7,34.6666,2,75.4666,16,13.8958,21.5054,20.761,38.1307,908.216
2,57,1,2,1,4,33.5333,2,35,7,7.70218,19.1271,17.3299,37.7407,577.701
3,57,1,2,1,1,9.81009,1,11.9367,4,5.26316,0.37594,4.88722,57.8947,221.514
4,57,1,2,1,2,18.6666,1,21.4666,4,8.02139,21.3904,4.81284,53.2085,332.69
5,57,1,2,1,2,70.3333,2,74.0666,9,17.8451,10.9428,32.4916,32.2391,820.346
6,57,1,2,1,5,22.0723,0,0,23,26.9638,30.4178,11.5877,29.6379,1687.39
1,58,1,1,1,2,117.716,0,-,21,16.9906,23.4314,24.764,32.593,1693.24
2,58,1,1,1,3,9.33332,3,12.0667,3,5.42635,27.5194,0,37.9845,299.746
3,58,1,1,1,1,51.5333,1,54.7333,6,25.1037,26.971,22.6141,15.1452,850.585
4,58,1,1,1,1,46.1751,1,51.9803,2,16.9697,18.9091,26.6667,30.9091,542.839
5,58,1,1,1,3,77.2666,1,80.3333,10,15.9363,14.9004,20.7171,43.3466,937.601
6,58,1,1,1,1,100.76,0,0,15,30.3099,21.6338,20.2254,24.1127,1464.55
1,60,1,1,2,1,48.5,0,-,8,15.5673,32.3219,32.19,18.2058,1315.02
2,60,1,1,2,4,37.5,1,101.167,17,22.8482,23.6307,16.9014,32.7074,1167.68
3,60,1,1,2,4,24,2,31.1666,2,19.6347,5.93607,13.242,51.5982,306.05
4,60,1,1,2,0,-,0,-,0,4.61741,20.7124,48.6807,18.0739,353.407
5,60,1,1,2,4,44.3333,0,-,20,21.7678,17.4142,33.2454,27.5726,1260.29
6,60,1,1,2,1,124.167,0,-,17,24.4063,20.1847,27.5726,27.8364,1185.44
1,61,2,2,1,4,19.8333,1,28,8,3.5,3,38.5,47,266.157
2,61,2,2,1,4,5.66666,1,8.99999,4,0,0,24.4186,56.9767,136.634
3,61,2,2,1,4,8.64497,1,12.9675,8,0,0,0,79.0476,121.194
4,61,2,2,1,2,44.0476,1,45.7483,13,22,19.6667,26,26,620.576
